---
Session started at 3-7-24 at 6:58:50
iTunes sleep time 15 seconds at 24:00:05
iTunes sleep time 15 seconds at 24:00:20
iTunes sleep time 15 seconds at 24:00:35
iTunes sleep time 15 seconds at 24:00:50
iTunes sleep time 15 seconds at 24:01:05
iTunes sleep time 15 seconds at 24:01:20
iTunes sleep time 15 seconds at 24:01:35
iTunes sleep time 15 seconds at 24:01:50
iTunes sleep time 15 seconds at 24:02:05
iTunes sleep time 15 seconds at 24:02:20
iTunes sleep time 15 seconds at 24:02:35
iTunes sleep time 15 seconds at 24:02:50
iTunes sleep time 15 seconds at 24:03:06
iTunes sleep time 15 seconds at 24:03:21
iTunes sleep time 15 seconds at 24:03:36
iTunes sleep time 15 seconds at 24:03:51
iTunes sleep time 15 seconds at 24:04:06
iTunes sleep time 15 seconds at 24:04:21
iTunes sleep time 15 seconds at 24:04:36
iTunes sleep time 15 seconds at 24:04:51
iTunes sleep time 15 seconds at 24:05:06
iTunes sleep time 15 seconds at 24:05:21
iTunes sleep time 15 seconds at 24:05:36
iTunes sleep time 15 seconds at 24:05:51
iTunes sleep time 15 seconds at 24:06:06
iTunes sleep time 15 seconds at 24:06:21
iTunes sleep time 15 seconds at 24:06:36
iTunes sleep time 15 seconds at 24:06:51
iTunes sleep time 15 seconds at 24:07:06
iTunes sleep time 15 seconds at 24:07:21
iTunes sleep time 15 seconds at 24:07:36
iTunes sleep time 15 seconds at 24:07:51
iTunes sleep time 15 seconds at 24:08:06
iTunes sleep time 15 seconds at 24:08:21
iTunes sleep time 15 seconds at 24:08:36
iTunes sleep time 15 seconds at 24:08:51
iTunes sleep time 15 seconds at 24:09:06
iTunes sleep time 15 seconds at 24:09:21
iTunes sleep time 15 seconds at 24:09:36
iTunes sleep time 15 seconds at 24:09:51
iTunes sleep time 15 seconds at 24:10:06
iTunes sleep time 15 seconds at 24:10:21
iTunes sleep time 15 seconds at 24:10:36
iTunes sleep time 15 seconds at 24:10:51
iTunes sleep time 15 seconds at 24:11:06
iTunes sleep time 15 seconds at 12:28:06
iTunes sleep time 15 seconds at 12:28:22
iTunes sleep time 15 seconds at 12:28:37
iTunes sleep time 15 seconds at 12:28:52
iTunes sleep time 15 seconds at 12:29:07
iTunes sleep time 15 seconds at 12:29:22
iTunes sleep time 15 seconds at 12:29:37
iTunes sleep time 15 seconds at 12:29:52
iTunes sleep time 15 seconds at 12:30:07
iTunes sleep time 15 seconds at 12:30:22
iTunes sleep time 15 seconds at 12:30:37
iTunes sleep time 15 seconds at 12:30:52
iTunes sleep time 15 seconds at 12:31:07
iTunes sleep time 15 seconds at 12:31:22
iTunes sleep time 15 seconds at 12:31:37
iTunes sleep time 15 seconds at 12:31:52
iTunes sleep time 15 seconds at 12:32:07
iTunes sleep time 15 seconds at 12:32:22
iTunes sleep time 15 seconds at 12:32:37
iTunes sleep time 15 seconds at 12:32:52
iTunes sleep time 15 seconds at 12:33:07
iTunes sleep time 15 seconds at 12:33:22
iTunes sleep time 15 seconds at 12:33:37
iTunes sleep time 15 seconds at 12:33:52
iTunes sleep time 15 seconds at 12:34:07
iTunes sleep time 15 seconds at 12:34:22
iTunes sleep time 15 seconds at 12:34:37
iTunes sleep time 15 seconds at 12:34:52
iTunes sleep time 15 seconds at 12:35:07
iTunes sleep time 15 seconds at 12:35:22
iTunes sleep time 15 seconds at 12:35:37
iTunes sleep time 15 seconds at 12:35:52
iTunes sleep time 15 seconds at 12:36:07
iTunes sleep time 15 seconds at 12:36:22
iTunes sleep time 15 seconds at 12:36:37
iTunes sleep time 15 seconds at 12:36:52
iTunes sleep time 15 seconds at 12:37:07
iTunes sleep time 15 seconds at 12:37:22
iTunes sleep time 15 seconds at 12:37:37
iTunes sleep time 15 seconds at 12:37:52
iTunes sleep time 15 seconds at 12:38:07
iTunes sleep time 15 seconds at 12:38:22
iTunes sleep time 15 seconds at 12:38:37
iTunes sleep time 15 seconds at 12:38:52
iTunes sleep time 15 seconds at 12:39:07
iTunes sleep time 15 seconds at 12:39:22
iTunes sleep time 15 seconds at 12:39:37
iTunes sleep time 15 seconds at 12:39:52
iTunes sleep time 15 seconds at 12:40:07
iTunes sleep time 15 seconds at 12:40:22
iTunes sleep time 15 seconds at 12:40:37
iTunes sleep time 15 seconds at 12:40:52
iTunes sleep time 15 seconds at 12:41:07
iTunes sleep time 15 seconds at 12:41:22
iTunes sleep time 15 seconds at 12:41:37
iTunes sleep time 15 seconds at 12:41:52
iTunes sleep time 15 seconds at 12:42:07
iTunes sleep time 15 seconds at 12:42:22
iTunes sleep time 15 seconds at 12:42:37
iTunes sleep time 15 seconds at 12:42:52
iTunes sleep time 15 seconds at 12:43:07
iTunes sleep time 15 seconds at 12:43:22
iTunes sleep time 15 seconds at 12:43:37
iTunes sleep time 15 seconds at 12:43:52
iTunes sleep time 15 seconds at 12:44:07
iTunes sleep time 15 seconds at 12:44:22
iTunes sleep time 15 seconds at 12:44:37
iTunes sleep time 15 seconds at 12:44:52
iTunes sleep time 15 seconds at 12:45:07
iTunes sleep time 15 seconds at 12:45:22
iTunes sleep time 15 seconds at 12:45:38
iTunes sleep time 15 seconds at 12:45:53
iTunes sleep time 15 seconds at 12:46:08
iTunes sleep time 15 seconds at 12:46:23
